,CITY,ELEMENT_GROUP,ELEMENT,BRAND HIGH,acv%,sku_count,sales_sum,brand_sspd,acv_per_mm,sales_per_million
0,COLUMBIA,BEVERAGES,COFFEE,STARBUCKS,99.98922041261716,35,13723811,137252.90529686195,203.316322,675.0707663148753
1,COLUMBIA,BEVERAGES,TEA,TWININGS,99.98922041261716,24,10834646,108358.14056044814,203.316322,532.9534761131874
2,COLUMBIA,BABY,DIAPERS,PAMPERS,99.98922041261716,18,6713777,67145.00795480571,203.316322,330.24897998501916
3,COLUMBIA,BABY,DIAPERS,HUGGIES,99.99516357523561,15,6192639,61929.38516812071,203.316322,304.59622994813327
4,COLUMBIA,BAKERY,CAKE,CHICAGO SWEET CONNECTION BAKERY,99.98922041261716,13,5931692,59323.314808558185,203.316322,291.77841810731843
5,COLUMBIA,BEVERAGES,TEA,ARIZONA,99.98922041261716,14,4578133,45786.26557050651,203.316322,225.197195779031
6,COLUMBIA,BABY,DIAPERS,LUVS,99.98922041261716,12,4189635,41900.866740544465,203.316322,206.0870781468517
7,COLUMBIA,CAT FOOD,DRY CAT FOOD,SOLID GOLD,99.98922041261716,8,3322676,33230.34209376361,203.316322,163.44158583472512
8,COLUMBIA,BEVERAGES,BEER,YOUNG'S,99.98922041261716,6,3138176,31385.143188935283,203.316322,154.36607784462714
9,COLUMBIA,BEVERAGES,COFFEE,WOLFGANG PUCK,99.98922041261716,8,3006256,30065.800969287837,203.316322,147.8769666573441
10,COLUMBIA,BEVERAGES,BEER,SAMUEL SMITH,99.98922041261716,6,2932300,29326.16123917681,203.316322,144.23908986105312
11,COLUMBIA,BABY,DIAPERS,HONEST,99.98922041261716,6,2607906,26081.87151813138,203.316322,128.2822316554171
12,COLUMBIA,PHARMACY,ALLERGY,HEALTH MART,99.98922041261716,6,2560165,25604.410049755174,203.316322,125.93386402964329
13,COLUMBIA,BAKERY,CAKE,PELLMAN,99.98922041261716,5,2304899,23051.474853874908,203.316322,113.37739453045441
14,COLUMBIA,BEVERAGES,COFFEE,GODIVA BELGIAN BLENDS,99.98922041261716,7,2285593,22858.394040559917,203.316322,112.42773730955017
15,COLUMBIA,BEVERAGES,COFFEE,DUNKIN',99.98922041261716,4,1924106,19243.134330480352,203.316322,94.64628388507023
16,COLUMBIA,BEVERAGES,TEA,CARL COLTERYAHN,99.98922041261716,6,1881816,18820.188738690704,203.316322,92.56604956040225
17,COLUMBIA,BAKERY,CAKE,GREBE'S,99.98922041261716,6,1856803,18570.03177280197,203.316322,91.33566646362002
18,COLUMBIA,BABY,DIAPERS,FITTI,99.99516357523561,4,1824765,18248.53257654867,203.316322,89.75439058231964
19,COLUMBIA,BABY,DIAPERS,DRYPERS,99.98922041261716,3,1821088,18212.84326935512,203.316322,89.5788547136669
20,COLUMBIA,BREAKFAST,BACON,HORMEL,99.98922041261716,6,1803414,18036.08421545845,203.316322,88.70947515693526
21,COLUMBIA,BAKERY,CAKE,DANISH KITCHENS,99.98922041261716,4,1691981,16921.634082332508,203.316322,83.22811427964209
22,COLUMBIA,BAKERY,CAKE,LA BREE'S BAKERY,99.98922041261716,5,1668876,16690.559173410784,203.316322,82.09158521670868
23,COLUMBIA,BREAKFAST,BACON,WRIGHT,99.98922041261716,3,1644951,16451.283380467597,203.316322,80.91472056270817
24,COLUMBIA,BREAKFAST,BACON,THOMAS E. WILSON,99.98922041261716,3,1604962,16051.350269328408,203.316322,78.94767184175409
25,COLUMBIA,BEVERAGES,BEER,TECATE,99.99516357523561,4,1476916,14769.874333859952,203.316322,72.64480386311509
26,COLUMBIA,BEVERAGES,BEER,LOWENBRAU,99.99516357523561,3,1444772,14448.418786904273,203.316322,71.06374266845272
27,COLUMBIA,BEVERAGES,TEA,LOTSA,99.98922041261716,3,1435939,14360.938049866081,203.316322,70.63347353817507
28,COLUMBIA,CAT FOOD,DRY CAT FOOD,IAMS,99.98922041261716,3,1339138,13392.823691132815,203.316322,65.87185701270366
29,COLUMBIA,BREAKFAST,BACON,OSCAR MAYER,99.98922041261716,2,1230497,12306.296567992138,203.316322,60.52783390401946
30,COLUMBIA,BAKERY,CAKE,ORION,99.98922041261716,3,1183403,11835.305797130428,203.316322,58.2112920433925
31,COLUMBIA,BEVERAGES,BEER,BRUMMEN,99.98922041261716,2,1162148,11622.732882647359,203.316322,57.16576400908609
32,COLUMBIA,BREAKFAST,BACON,VALUE MAX,99.98922041261716,2,1148745,11488.6884332088,203.316322,56.50647385411978
33,COLUMBIA,BEVERAGES,BEER,HOFBRAU,99.98922041261716,2,1112871,11129.909758348032,203.316322,54.741840934679274
34,COLUMBIA,CAT FOOD,DRY CAT FOOD,NUTRO,99.98922041261716,3,1106293,11064.122666771009,203.316322,54.41827079072878
35,COLUMBIA,BEVERAGES,COFFEE,COCO CAFE,99.98922041261716,2,1103872,11039.910056751554,203.316322,54.29918241759042
36,COLUMBIA,BEVERAGES,TEA,VERYFINE,99.98922041261716,2,1103567,11036.859727938694,203.316322,54.28417954530327
37,COLUMBIA,BEVERAGES,COFFEE,ILLY,99.98922041261716,7,1098689,10988.074469089088,203.316322,54.04423196819922
38,COLUMBIA,BAKERY,CAKE,JON DONAIRE,99.98922041261716,4,1091473,10915.906689700245,203.316322,53.68927876680872
39,COLUMBIA,BEVERAGES,BEER,DOS EQUIS,99.98922041261716,3,1083745,10838.61835833703,203.316322,53.309140415873884
40,COLUMBIA,CAT FOOD,DRY CAT FOOD,WELLNESS,99.98922041261716,2,1067441,10675.560781403039,203.316322,52.5071508100714
41,COLUMBIA,BABY,DIAPERS,CUTIES,99.98922041261716,3,1024064,10241.74401774592,203.316322,50.37344723236691
42,COLUMBIA,BABY,DIAPERS,BRIGHT BUNNY,99.98922041261716,2,1003163,10032.711484901383,203.316322,49.34533236786264
43,COLUMBIA,BEVERAGES,TEA,SNAPPLE,99.98922041261716,3,989980,9900.867272639314,203.316322,48.69686395684117
44,COLUMBIA,BABY,DIAPERS,SEVENTH GENERATION,99.98922041261716,3,988722,9888.285916421026,203.316322,48.634983257374806
45,COLUMBIA,BREAKFAST,BACON,GROGAN'S,99.98922041261716,2,975556,9756.61172248623,203.316322,47.9873510720218
46,COLUMBIA,BEVERAGES,TEA,STEAZ,99.98922041261716,3,960158,9602.615122288145,203.316322,47.22992737537395
47,COLUMBIA,BAKERY,CAKE,WALONG MARKETING,99.98922041261716,3,955414,9555.17000790058,203.316322,46.9965712241272
48,COLUMBIA,BAKERY,CAKE,THE SWISS COLONY,99.98922041261716,3,940625,9407.264064250141,203.316322,46.26910408230845
49,COLUMBIA,BAKERY,CAKE,NATURA,99.98922041261716,2,927193,9272.929583547408,203.316322,45.60838742473124
50,COLUMBIA,BABY,DIAPERS,HELLO BELLO,99.98922041261716,2,924419,9245.186592967495,203.316322,45.47193507153594
51,COLUMBIA,CAT FOOD,DRY CAT FOOD,PURINA,99.98922041261716,2,899939,9000.360201692713,203.316322,44.26777010894734
52,COLUMBIA,BEVERAGES,COFFEE,FORTO COFFEE,99.98922041261716,5,890207,8903.029709867296,203.316322,43.78905550862412
53,COLUMBIA,BEVERAGES,TEA,PURE LEAF,99.98922041261716,3,878573,8786.677167543323,203.316322,43.216782012923304
54,COLUMBIA,BAKERY,CAKE,MRS. SMITH'S,99.98922041261716,2,856304,8563.963159892255,203.316322,42.12137557698026
55,COLUMBIA,BEVERAGES,TEA,CELESTIAL SEASONINGS,99.98922041261716,3,842684,8427.748476511431,203.316322,41.45141124730473
56,COLUMBIA,PHARMACY,ALLERGY,CLARITIN,99.98922041261716,2,838399,8384.893856960269,203.316322,41.24063318910652
57,COLUMBIA,BEVERAGES,COFFEE,VICTOR ALLEN'S,99.98922041261716,2,792182,7922.674031570291,203.316322,38.967230735023286
58,COLUMBIA,BAKERY,CAKE,HOME STYLE,99.98922041261716,2,790492,7905.772209623625,203.316322,38.884100065628886
59,COLUMBIA,BEVERAGES,TEA,OAT MAMA,99.98922041261716,3,787118,7872.028572198742,203.316322,38.71813386531132
60,COLUMBIA,BABY,DIAPERS,BAMBO NATURE,99.98922041261716,2,766687,7667.696546049433,203.316322,37.713138181052834
61,COLUMBIA,BAKERY,CAKE,DAYSTAR DESSERTS,99.98922041261716,2,712645,7127.218284722968,203.316322,35.05482597074999
62,COLUMBIA,BAKERY,CAKE,BEST,99.98922041261716,2,704831,7049.069860645306,203.316322,34.67045730172763
63,COLUMBIA,BABY,DIAPERS,SMALL STARS,99.98922041261716,2,668125,6681.97028882618,203.316322,32.86489851427757
64,COLUMBIA,BABY,DIAPERS,FISHER-PRICE HAPPY DAYS,99.98922041261716,1,657476,6575.4688084060335,203.316322,32.34107691760248
65,COLUMBIA,BABY,DIAPERS,EARTH'S BEST,99.98922041261716,2,643276,6433.4534997417395,203.316322,31.642582535708762
66,COLUMBIA,BEVERAGES,BEER,TWO ROADS,99.98922041261716,2,641198,6412.671259501993,203.316322,31.5403662451753
67,COLUMBIA,PHARMACY,ALLERGY,BENZEDREX,99.98922041261716,2,639641,6397.099580939294,203.316322,31.463777811893006
68,COLUMBIA,BREAKFAST,BACON,UNCLE CHARLEY'S,99.98922041261716,1,629651,6297.188810970541,203.316322,30.972372257307217
69,COLUMBIA,BREAKFAST,BACON,SHULLSBURG,99.98922041261716,1,627357,6274.246337866605,203.316322,30.859530981809737
70,COLUMBIA,BEVERAGES,TEA,HONEST,99.98922041261716,2,625257,6253.24407390921,203.316322,30.756232516881795
71,COLUMBIA,CAT FOOD,DRY CAT FOOD,NATURES GOODNESS,99.98922041261716,2,616685,6167.514832650735,203.316322,30.334578020994964
72,COLUMBIA,BAKERY,CAKE,PARK AVENUE MUFFIN,99.98922041261716,2,597820,5978.844494766798,203.316322,29.406613477725596
